Date,Open,High,Low,Close,Volume
2/16/2017,7.7594,7.7618,7.7586,7.7595,0
2/15/2017,7.759,7.763,7.7584,7.7596,0
2/14/2017,7.7589,7.7599,7.7578,7.7596,0
2/13/2017,7.7574,7.76,7.7572,7.7592,0
2/10/2017,7.7579,7.76,7.7572,7.758,0
2/9/2017,7.759,7.7597,7.7567,7.7583,0
2/8/2017,7.7583,7.7599,7.7576,7.7595,0
2/7/2017,7.7579,7.7591,7.7555,7.7585,0
2/6/2017,7.7578,7.7589,7.7565,7.7584,0
2/3/2017,7.7597,7.7599,7.757,7.7576,0
2/2/2017,7.7593,7.76,7.7584,7.7598,0
2/1/2017,7.7587,7.7597,7.7573,7.7597,0
1/31/2017,7.758,7.7595,7.7564,7.7589,0
1/30/2017,7.7588,7.7595,7.7568,7.7584,0
1/27/2017,7.7578,7.7598,7.7571,7.7592,0
1/26/2017,7.7573,7.7587,7.7564,7.758,0
1/25/2017,7.757,7.758,7.7563,7.7575,0
1/24/2017,7.7563,7.7581,7.7556,7.7572,0
1/23/2017,7.757,7.7589,7.7557,7.7565,0
1/20/2017,7.7565,7.7591,7.7562,7.7575,0
1/19/2017,7.7559,7.7584,7.7554,7.7572,0
1/18/2017,7.7553,7.757,7.7548,7.7563,0
1/17/2017,7.755,7.7566,7.7546,7.7557,0
1/16/2017,7.7541,7.7558,7.754,7.7553,0
1/13/2017,7.754,7.7557,7.7536,7.7549,0
1/12/2017,7.7546,7.7553,7.7531,7.7542,0
1/11/2017,7.754,7.7565,7.7536,7.7549,0
1/10/2017,7.7554,7.7566,7.7535,7.7546,0
1/9/2017,7.7552,7.7569,7.7542,7.7561,0
1/6/2017,7.7537,7.7561,7.7535,7.7557,0
1/5/2017,7.7547,7.7558,7.7528,7.7542,0
1/4/2017,7.7562,7.7568,7.7543,7.7552,0
1/3/2017,7.7563,7.7586,7.755,7.7564,0
1/2/2017,7.7546,7.7588,7.7546,7.757,0
12/30/2016,7.7547,7.7569,7.7525,7.7545,0
